1,7
1,15
1,38
1,32
1,12
1,14
2,10
2,40
2,27
2,21
2,45
2,26
3,3
4,27
4,15
4,1
4,40
4,24
5,33
5,4
5,1
5,6
5,27
5,43
5,30
5,8
6,21
6,32
6,45
6,17
6,43
6,14
6,16
6,2
7,17
7,42
7,11
7,1
7,7
7,8
7,30
8,21
8,11
8,5
8,33
8,29
8,4
8,32
8,2
8,25
8,14
9,45
9,35
10,21
10,4
10,16
10,18
11,20
11,14
11,17
11,9
11,3
11,38
11,41
11,24
12,17
12,2
12,37
12,28
13,30
13,9
13,41
13,11
13,15
13,22
13,24
13,21
13,10
13,36
14,38
14,13
14,32
14,44
14,23
14,16
15,37
15,45
15,15
15,2
15,11
15,17
15,43
16,19
16,6
16,33
17,11
18,14
18,1
18,36
18,33
18,38
18,6
18,20
18,18
19,10
19,21
19,32
19,5
19,6
19,9
19,22
19,37
19,12
20,7
20,43
20,17
20,22
20,31
20,15
21,14
21,30
21,10
21,21
21,20
21,35
21,16
22,30
22,7
22,34
22,42
22,28
23,24
23,10
23,19
23,12
23,9
23,27
23,31
23,4
23,33
24,34
24,24
24,27
24,8
24,29
24,18
24,17
24,2
24,13
25,38
25,34
25,2
25,17
25,4
25,43
26,6
26,33
26,29
26,25
26,39
26,23
26,10
26,15
27,19
27,31
27,33
27,18
27,4
27,43
27,36
28,11
28,24
28,39
28,25
28,19
28,44
28,32
28,14
29,25
29,3
29,45
29,24
29,21
29,39
29,36
29,41
30,38
30,9
30,6
30,17
30,25
30,8
30,20
30,23
31,43
31,9
31,16
31,14
31,24
32,29
32,30
32,44
32,32
32,20
32,12
32,7
32,9
33,17
33,24
33,33
34,7
34,28
34,4
34,9
35,9
35,32
35,17
35,24
35,41
35,36
35,7
35,3
35,10
36,11
36,34
36,30
36,2
36,38
36,29
36,6
36,32
36,7
37,35
37,45
38,5
39,41
39,16
39,14
39,33
39,4
40,6
40,38
40,28
40,26
40,18
40,16
40,22
40,9
40,39
41,29
41,20
41,17
41,30
41,13
41,11
41,26
42,10
42,35
42,8
42,13
42,16
42,23
43,16
43,37
43,12
43,43
44,27
44,35
44,21
44,14
44,9
44,3
44,5
45,28
45,6
45,36
45,30
45,32
46,39
46,16
46,18
46,43
46,8
47,34
48,34
48,26
48,5
48,3
48,18
48,19
48,11
49,36
49,4
49,9
50,19
