1,7
1,12
1,14
1,15
1,32
1,38
2,10
2,21
2,26
2,27
2,40
2,45
3,3
4,1
4,15
4,24
4,27
4,40
5,1
5,4
5,6
5,8
5,27
5,30
5,33
5,43
6,2
6,14
6,16
6,17
6,21
6,32
6,43
6,45
7,1
7,7
7,8
7,11
7,17
7,30
7,42
8,2
8,4
8,5
8,11
8,14
8,21
8,25
8,29
8,32
8,33
9,35
9,45
10,4
10,16
10,18
10,21
11,3
11,9
11,14
11,17
11,20
11,24
11,38
11,41
12,2
12,17
12,28
12,37
13,9
13,10
13,11
13,15
13,21
13,22
13,24
13,30
13,36
13,41
14,13
14,16
14,23
14,32
14,38
14,44
15,2
15,11
15,15
15,17
15,37
15,43
15,45
16,6
16,19
16,33
17,11
18,1
18,6
18,14
18,18
18,20
18,33
18,36
18,38
19,5
19,6
19,9
19,10
19,12
19,21
19,22
19,32
19,37
20,7
20,15
20,17
20,22
20,31
20,43
21,10
21,14
21,16
21,20
21,21
21,30
21,35
22,7
22,28
22,30
22,34
22,42
23,4
23,9
23,10
23,12
23,19
23,24
23,27
23,31
23,33
24,2
24,8
24,13
24,17
24,18
24,24
24,27
24,29
24,34
25,2
25,4
25,17
25,34
25,38
25,43
26,6
26,10
26,15
26,23
26,25
26,29
26,33
26,39
27,4
27,18
27,19
27,31
27,33
27,36
27,43
28,11
28,14
28,19
28,24
28,25
28,32
28,39
28,44
29,3
29,21
29,24
29,25
29,36
29,39
29,41
29,45
30,6
30,8
30,9
30,17
30,20
30,23
30,25
30,38
31,9
31,14
31,16
31,24
31,43
32,7
32,9
32,12
32,20
32,29
32,30
32,32
32,44
33,17
33,24
33,33
34,4
34,7
34,9
34,28
35,3
35,7
35,9
35,10
35,17
35,24
35,32
35,36
35,41
36,2
36,6
36,7
36,11
36,29
36,30
36,32
36,34
36,38
37,35
37,45
38,5
39,4
39,14
39,16
39,33
39,41
40,6
40,9
40,16
40,18
40,22
40,26
40,28
40,38
40,39
41,11
41,13
41,17
41,20
41,26
41,29
41,30
42,8
42,10
42,13
42,16
42,23
42,35
43,12
43,16
43,37
43,43
44,3
44,5
44,9
44,14
44,21
44,27
44,35
45,6
45,28
45,30
45,32
45,36
46,8
46,16
46,18
46,39
46,43
47,34
48,3
48,5
48,11
48,18
48,19
48,26
48,34
49,4
49,9
49,36
50,19
